stage,base_model_type,base_params,base_p1_sample_weight,base_p2_sample_weight,base_p4_sample_weight,p1p2_model_type,p1p2_params,boundary_p1_sample_weight,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.0,sgd_log,alpha=0.03,1.0,1.0,1.576551100901394,0.6896,0.6874518348356566,0.6874518348356566,0.6896000000000001,0.608,0.8992,0.4544,0.624,0.608,0.896,0.608,0.712,0.7155778894472362,0.7144890172563757,0.7146511256508223,0.7153532815593117,0.6331658291457286,0.8994974874371859,0.4221105527638191,0.6331658291457286,0.6515151515151515,0.875,0.6834170854271356,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.0,1.4,sgd_log,alpha=0.03,1.0,1.0,1.5710764470432754,0.6896,0.6887940784054589,0.688794078405459,0.6896000000000001,0.596,0.9016,0.4504,0.616,0.596,0.856,0.66,0.72,0.7165829145728643,0.7156786658068739,0.7158234520818536,0.7163833307953912,0.6381909547738693,0.907537688442211,0.41105527638190953,0.6381909547738693,0.6414141414141414,0.84,0.7185929648241206,0.7437185929648241
cost_sensitive_base,sgd_log,alpha=0.05,1.0,1.15,1.4,,,1.0,1.0,1.5691858311934759,0.6864,0.6865097186557928,0.6865097186557929,0.6864000000000001,0.6,0.8992,0.4584,0.62,0.6,0.84,0.66,0.712,0.7206030150753768,0.7206839319102907,0.7208219652704795,0.7204438860971525,0.6582914572864321,0.9025125628140703,0.41105527638190953,0.6582914572864321,0.6666666666666666,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.4,sgd_log,alpha=0.05,1.2,1.0,1.5659681417207183,0.6872,0.6873469028678639,0.6873469028678639,0.6872,0.596,0.8992,0.456,0.628,0.596,0.84,0.66,0.712,0.721608040201005,0.7216691535851675,0.7218022360826686,0.7214539871072534,0.6582914572864321,0.9025125628140703,0.41105527638190953,0.6582914572864321,0.6717171717171717,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.0,sgd_log,alpha=0.05,1.2,1.0,1.565261415065448,0.6888,0.6869690251090808,0.6869690251090808,0.6888,0.596,0.8992,0.4544,0.632,0.596,0.896,0.616,0.704,0.7256281407035176,0.7248238471617028,0.7249839250552758,0.7254136845845388,0.6582914572864321,0.8994974874371859,0.4120603015075377,0.6582914572864321,0.6616161616161617,0.875,0.6984924623115578,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.2,sgd_log,alpha=0.05,1.2,1.0,1.5651141361175402,0.6872,0.6861235601959006,0.6861235601959005,0.6872,0.596,0.9,0.4568,0.628,0.596,0.864,0.632,0.716,0.7236180904522613,0.7232555227875681,0.7233995763889081,0.7234439368559972,0.6582914572864321,0.9015075376884422,0.41105527638190953,0.6582914572864321,0.6717171717171717,0.845,0.6984924623115578,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.4,sgd_log,alpha=0.1,1.0,1.0,1.5640867686226705,0.6864,0.6858112810377839,0.6858112810377839,0.6864000000000001,0.596,0.9,0.456,0.62,0.596,0.852,0.656,0.708,0.7175879396984924,0.7176753928407015,0.7177908244252434,0.7174237348357951,0.6532663316582915,0.9025125628140703,0.41105527638190953,0.6532663316582915,0.6616161616161617,0.825,0.7135678391959799,0.7336683417085427
cost_sensitive_base,sgd_log,alpha=0.05,1.0,1.15,1.2,,,1.0,1.0,1.5633936314477803,0.6832,0.682456052412967,0.682456052412967,0.6832,0.604,0.896,0.4664,0.62,0.604,0.86,0.616,0.716,0.7195979899497488,0.7196469715809661,0.7197954319836645,0.7194338866047408,0.6582914572864321,0.8994974874371859,0.41708542713567837,0.6582914572864321,0.6717171717171717,0.835,0.6884422110552764,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.0,sgd_log,alpha=0.1,1.0,1.0,1.562913639505191,0.6896,0.6878560658419852,0.6878560658419851,0.6896000000000001,0.592,0.8952,0.4608,0.624,0.632,0.888,0.592,0.712,0.7306532663316583,0.7299929042073194,0.7301292109606152,0.7304743414039898,0.6532663316582915,0.9015075376884422,0.4040201005025126,0.6532663316582915,0.696969696969697,0.875,0.6884422110552764,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.15,1.2,sgd_log,alpha=0.05,1.2,1.0,1.5616974297997888,0.6856,0.6850290496663147,0.6850290496663147,0.6856,0.596,0.8976,0.46,0.632,0.596,0.848,0.632,0.72,0.7195979899497488,0.7194868318102282,0.7196312681115828,0.719433835845896,0.6582914572864321,0.9015075376884422,0.41608040201005025,0.6582914572864321,0.6666666666666666,0.83,0.7035175879396985,0.7386934673366834
